Id,Lista_Heroes
W/P 2,WOLVERINE SKRULL :  SOTEIRA :  BLAIR  CALEY :  REVELATION II/ :  MELLACE  LUCY SANTIN :  PUNISHER II/FRANK CA
W/P 3,WOLVERINE SKRULL :  SOTEIRA :  DAREDEVIL/MATT MURDO :  ARCTURUS :  REVELATION II/ :  EPHESUS :  PUNISHER II/FRANK CA
W/P 4,WOLVERINE SKRULL :  ARCTURUS :  STORM/ORORO MUNROE S :  REVELATION II/ :  EPHESUS :  MELLACE  LUCY SANTIN
CA 375/2,BATTLESTAR/LEMAR HOS :  JACKSON  CURTISS :  MALUS  DR. KARL
TFORM 3,ROBERTSON  JOE
CA 386,PUFF ADDER :  STANKOWICZ  FABIAN :  CAPTAIN AMERICA :  ROSENTHAL  BERNIE :  JAMESON  COL. JOHN :  USAGENT/CAPTAIN JOHN :  BARTLETT  STU :  FARREL  MIKE :  JARVIS  EDWIN
CA 385,CAPTAIN AMERICA :  ROSENTHAL  BERNIE :  RAGE/ELVIN DARYL HAL :  BARTLETT  STU :  FARREL  MIKE :  CARTER  PEGGY :  SANDMAN/WILLIAM BAKE
CA 384,CAPTAIN AMERICA :  JACK FROST/ :  KINCAID  DR. KEITH :  JAMESON  COL. JOHN :  THOR/DR. DONALD BLAK :  DEMOLITION MAN/DENNI :  CARTER  PEGGY :  ICE WORM
CA 383,BUNYAN  PAUL :  FALCON/SAM WILSON :  STANKOWICZ  FABIAN :  UNCLE SAM :  QUASAR III/WENDELL V :  BLACK WIDOW/NATASHA :  CAPTAIN AMERICA :  PECOS BILL :  WONDER MAN/SIMON WIL :  JOHNNY APPLESEED/JON :  FATHER TIME :  WASP/JANET VAN DYNE :  SHE-HULK/JENNIFER WA :  VISION :  JAMESON  COL. JOHN :  THOR/DR. DONALD BLAK :  ANT-MAN/DR. HENRY J. :  IRON MAN/TONY STARK :  O'BRIEN  MICHAEL :  JARVIS  EDWIN :  SERSI/SYLVIA :  CARTER  PEGGY :  HENRY  JOHN :  WIDOW-MAKER :  HAWK
CA 382,PUFF ADDER :  ANACONDA/BLANCHE SIT :  PALADIN/PAUL DENNIS :  COBRA/KLAUS VORHEES :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  ROCK PYTHON :  BLACK MAMBA/TANYA SE :  ROSENTHAL  BERNIE :  ASP II/CLEO :  JAMESON  COL. JOHN :  COTTONMOUTH II :  COACHWHIP :  RATTLER :  FARREL  MIKE :  JARVIS  EDWIN :  FER DE LANCE/TERESA :  BLACK RACER/ :  BUSHMASTER II/QUINCY
CA 381,PUFF ADDER :  BOOMSLANG/ :  ANACONDA/BLANCHE SIT :  PALADIN/PAUL DENNIS :  SIDEWINDER/SETH VOEL :  COBRA/KLAUS VORHEES :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  ROCK PYTHON :  BLACK MAMBA/TANYA SE :  ASP II/CLEO :  JAMESON  COL. JOHN :  COTTONMOUTH II :  COACHWHIP :  RATTLER :  CARTER  PEGGY :  FER DE LANCE/TERESA :  BLACK RACER/ :  BUSHMASTER II/QUINCY
CA 380,PUFF ADDER :  BOOMSLANG/ :  ANACONDA/BLANCHE SIT :  STANKOWICZ  FABIAN :  SIDEWINDER/SETH VOEL :  COBRA/KLAUS VORHEES :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  ROCK PYTHON :  COPPERHEAD III/DAVIS :  BLACK MAMBA/TANYA SE :  ROSENTHAL  BERNIE :  ASP II/CLEO :  JAMESON  COL. JOHN :  COTTONMOUTH II :  COACHWHIP :  RATTLER :  FARREL  MIKE :  O'BRIEN  MICHAEL :  JARVIS  EDWIN :  CARTER  PEGGY :  FER DE LANCE/TERESA :  KAPPELBAUM  MRS. :  BLACK RACER/ :  BUSHMASTER II/QUINCY
CA 379,QUASAR III/WENDELL V :  CAPTAIN AMERICA :  MOONSTONE II/KARLA S :  JAMESON  COL. JOHN :  MOONSTONE/LLOYD BLOC :  CARTER  PEGGY
CA 378,CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  JAMESON  COL. JOHN :  SAXON  STARR :  RED SKULL/JOHANN SCH :  CROSSBONES/BROCK BIN :  ANT-MAN/DR. HENRY J. :  KINGPIN/WILSON FISK
CA 377,BLACK WIDOW/NATASHA :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  TYPHOID MARY/MARY ME :  KINCAID  DR. KEITH :  JAMESON  COL. JOHN :  BULLSEYE II/BENJAMIN :  RED SKULL/JOHANN SCH :  CROSSBONES/BROCK BIN :  ANT-MAN/DR. HENRY J. :  KINGPIN/WILSON FISK
CA 376,BLACK WIDOW/NATASHA :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  TYPHOID MARY/MARY ME :  DAREDEVIL/MATT MURDO :  JAMESON  COL. JOHN :  BULLSEYE II/BENJAMIN :  RED SKULL/JOHANN SCH :  CROSSBONES/BROCK BIN :  KINGPIN/WILSON FISK
TTA 63/2,HULK/DR. ROBERT BRUC :  ROSS  GEN. THADDEUS :  CHAMELEON/DMITRI SME :  LEADER/SAM STERNS :  TALBOT  GLENN
M/FAN 52/2,DR. STRANGE/STEPHEN :  WOLFE  SARA :  WONG
CA 375,CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  TYPHOID MARY/MARY ME :  DAREDEVIL/MATT MURDO :  JAMESON  COL. JOHN :  BULLSEYE II/BENJAMIN :  CROSSBONES/BROCK BIN :  KINGPIN/WILSON FISK
CA 374,BLACK WIDOW/NATASHA :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  TYPHOID MARY/MARY ME :  DAREDEVIL/MATT MURDO :  JAMESON  COL. JOHN :  BULLSEYE II/BENJAMIN :  O'BRIEN  MICHAEL :  KINGPIN/WILSON FISK :  CARTER  PEGGY
SOLOA 12/2,YELLOWJACKET II/RITA :  BLACK KNIGHT V/DANE :  WASP/JANET VAN DYNE :  FIXER II/PAUL NORBER
CA 373,BLACK WIDOW/NATASHA :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  TYPHOID MARY/MARY ME :  JAMESON  COL. JOHN :  BULLSEYE II/BENJAMIN :  KINGPIN/WILSON FISK :  CARTER  PEGGY
CA 372,BOOMSLANG/ :  STANKOWICZ  FABIAN :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  JAMESON  COL. JOHN :  BULLSEYE II/BENJAMIN :  O'BRIEN  MICHAEL
CA 371,POUNDCAKES/MARIAN PO :  ANACONDA/BLANCHE SIT :  STANKOWICZ  FABIAN :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  BLACK MAMBA/TANYA SE :  GAMECOCK/ :  ASP II/CLEO :  JAMESON  COL. JOHN :  O'BRIEN  MICHAEL :  JARVIS  EDWIN :  CARTER  PEGGY :  JACKHAMMER :  TRUMP/
CA 370,SLEEPER :  STANKOWICZ  FABIAN :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  MOTHER NIGHT/SUSAN S :  JAMESON  COL. JOHN :  SAXON  STARR :  RED SKULL/JOHANN SCH :  CROSSBONES/BROCK BIN :  M'DAKA :  JARVIS  EDWIN :  THUNDERSTRIKE/ERIC K :  VOICE :  CARTER  PEGGY :  MICAWBER  TRISTRAM
CA 369,SLEEPER :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  MOTHER NIGHT/SUSAN S :  ASP II/CLEO :  SAXON  STARR :  CROSSBONES/BROCK BIN :  TINKERER :  VOICE :  SELENE
CA 368,STANKOWICZ  FABIAN :  COBRA/KLAUS VORHEES :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  BLACK MAMBA/TANYA SE :  ASP II/CLEO :  JAMESON  COL. JOHN :  SAXON  STARR :  CROSSBONES/BROCK BIN :  JARVIS  EDWIN :  CARTER  PEGGY :  SELENE
CA 367,MAGNETO/MAGNUS/ERIC :  BOOMSLANG/ :  STANKOWICZ  FABIAN :  CAPTAIN AMERICA :  SUB-MARINER/NAMOR MA :  RED SKULL/JOHANN SCH :  CROSSBONES/BROCK BIN :  ANT-MAN/DR. HENRY J. :  CONTROLLER/BASIL SAN
CA 366,MAGNETO/MAGNUS/ERIC :  STANKOWICZ  FABIAN :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  SUB-MARINER/NAMOR MA :  DR. DOOM/VICTOR VON :  RED SKULL/JOHANN SCH :  CROSSBONES/BROCK BIN :  WIZARD/BENTLEY WITTM :  MANDARIN :  ANT-MAN/DR. HENRY J. :  LOKI [ASGARDIAN] :  KINGPIN/WILSON FISK :  CONTROLLER/BASIL SAN
CA 365,STANKOWICZ  FABIAN :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  SUB-MARINER/NAMOR MA :  JAMESON  COL. JOHN :  DR. DOOM/VICTOR VON :  RED SKULL/JOHANN SCH :  CROSSBONES/BROCK BIN :  WIZARD/BENTLEY WITTM :  LOKI [ASGARDIAN] :  O'BRIEN  MICHAEL :  JARVIS  EDWIN :  KINGPIN/WILSON FISK :  CARTER  PEGGY :  CONTROLLER/BASIL SAN
HMAG 27/2,HULK/DR. ROBERT BRUC
CA 364,CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  RED SKULL/JOHANN SCH :  CROSSBONES/BROCK BIN
CA 363,WOLVERINE/LOGAN :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  JAMESON  COL. JOHN :  CROSSBONES/BROCK BIN :  O'BRIEN  MICHAEL :  CARTER  PEGGY
CA 362,CAPTAIN AMERICA :  BATROC/GEORGES BATRO :  DIAMONDBACK II/RACHE :  JAMESON  COL. JOHN :  CROSSBONES/BROCK BIN :  CITIZEN V II/HELMUT :  MACHETE/FERDINAND LO :  ZARAN/MAXIMILLIAN ZA
CA 361,CAPTAIN AMERICA :  BATROC/GEORGES BATRO :  DIAMONDBACK II/RACHE :  JAMESON  COL. JOHN :  LIVING MUMMY :  CITIZEN V II/HELMUT :  MACHETE/FERDINAND LO :  ZARAN/MAXIMILLIAN ZA
CA 360,CAPTAIN AMERICA :  BATROC/GEORGES BATRO :  DIAMONDBACK II/RACHE :  JAMESON  COL. JOHN :  CITIZEN V II/HELMUT :  MACHETE/FERDINAND LO :  ZARAN/MAXIMILLIAN ZA
CA 359,CAPTAIN AMERICA :  BATROC/GEORGES BATRO :  DIAMONDBACK II/RACHE :  JAMESON  COL. JOHN :  CITIZEN V II/HELMUT :  MACHETE/FERDINAND LO :  ZARAN/MAXIMILLIAN ZA
CA 358,STANKOWICZ  FABIAN :  CAPTAIN AMERICA :  BATROC/GEORGES BATRO :  DIAMONDBACK II/RACHE :  JAMESON  COL. JOHN :  CITIZEN V II/HELMUT :  O'BRIEN  MICHAEL :  MACHETE/FERDINAND LO :  ZARAN/MAXIMILLIAN ZA
CA 357,SISTER DEATH :  CAPTAIN AMERICA :  MOTHER NIGHT/SUSAN S :  SISTER PLEASURE/SCAR :  SISTER DREAM :  SAXON  STARR :  MOTHER SUPERIOR :  SERSI/SYLVIA :  MINISTER BLOOD :  SISTER AGONY
ST2 4/2,DR. STRANGE/STEPHEN :  RINTRAH
CA 356,SISTER DEATH :  CAPTAIN AMERICA :  MOTHER NIGHT/SUSAN S :  SISTER PLEASURE/SCAR :  SISTER DREAM :  SAXON  STARR :  MOTHER SUPERIOR :  SCARBO :  SISTER AGONY
CA 355,PUFF ADDER :  BATTLESTAR/LEMAR HOS :  FALCON/SAM WILSON :  SIKORSKY  RAYMOND :  CAPTAIN AMERICA :  ROCK PYTHON :  ROSENTHAL  BERNIE :  SISTER PLEASURE/SCAR :  COACHWHIP :  REDWING :  SERSI/SYLVIA :  CARTER  PEGGY :  COOPER  DR. VALERIE :  SISTER AGONY
CA 354,BATTLESTAR/LEMAR HOS :  STANKOWICZ  FABIAN :  SIKORSKY  RAYMOND :  CAPTAIN AMERICA :  SUPER-ADAPTOID/ALESS :  GYRICH  HENRY PETER :  TESS-ONE :  USAGENT/CAPTAIN JOHN :  SAXON  STARR :  SENTRY 459 :  O'BRIEN  MICHAEL :  COOPER  DR. VALERIE
ASPOT 20/2,FIREBIRD/BONITA JUAR
CA 388/2,RED SKULL/JOHANN SCH :  CONRAD  LUTHER DUTCH :  HAUPTMANN DEUTSCHLAN
CA 353,DARKSTAR/LAYNIA SERG :  BATTLESTAR/LEMAR HOS :  CAPTAIN AMERICA :  FANTASIA :  VOSTOK :  VANGUARD/NICOLAI KRY :  KINCAID  DR. KEITH :  URSA MAJOR/MIKHAIL U :  O'BRIEN  MICHAEL :  PERUN :  RED GUARDIAN IV :  CRIMSON DYNAMO V/DIM
CA 352,DARKSTAR/LAYNIA SERG :  BATTLESTAR/LEMAR HOS :  STANKOWICZ  FABIAN :  SIKORSKY  RAYMOND :  CAPTAIN AMERICA :  FANTASIA :  SPEEDBALL/ROBBIE BAL :  VOSTOK :  VANGUARD/NICOLAI KRY :  KINCAID  DR. KEITH :  URSA MAJOR/MIKHAIL U :  O'BRIEN  MICHAEL :  JARVIS  EDWIN :  GLADIATRIX :  CARTER  PEGGY :  COOPER  DR. VALERIE :  PERUN :  BLUE SHIELD/JOSEPH J :  RED GUARDIAN IV :  CRIMSON DYNAMO V/DIM
""Steve Coffin which""","CAPTAIN UNIVERSE/STE
CA 351,JONES  GABE :  BATTLESTAR/LEMAR HOS :  SIKORSKY  RAYMOND :  CAPTAIN AMERICA :  USAGENT/CAPTAIN JOHN :  SCOURGE II/ :  FURY  COL. NICHOLAS :  DUGAN  TIMOTHY ALOYI :  CARTER  PEGGY :  COOPER  DR. VALERIE
CA 350,BATTLESTAR/LEMAR HOS :  SIKORSKY  RAYMOND :  CAPTAIN AMERICA :  GYRICH  HENRY PETER :  USAGENT/CAPTAIN JOHN :  RED SKULL/JOHANN SCH :  COOPER  DR. VALERIE
CA 349,BATTLESTAR/LEMAR HOS :  CAPTAIN AMERICA :  USAGENT/CAPTAIN JOHN :  DEMOLITION MAN/DENNI :  FLAG-SMASHER
CA 348,BATTLESTAR/LEMAR HOS :  SIKORSKY  RAYMOND :  CAPTAIN AMERICA :  USAGENT/CAPTAIN JOHN :  COOPER  DR. VALERIE :  FLAG-SMASHER
CA 347,BATTLESTAR/LEMAR HOS :  SIKORSKY  RAYMOND :  CAPTAIN AMERICA :  GYRICH  HENRY PETER :  LEFT-WINGER/HECTOR L :  SCOURGE :  USAGENT/CAPTAIN JOHN :  RED SKULL II/ALBERT :  RIGHT-WINGER/JEROME :  COOPER  DR. VALERIE
CA 346,SUPER SABRE/MARTIN F :  PARALYZER :  BATTLESTAR/LEMAR HOS :  DESTINY II/IRENE ADL :  PYRO/ALLERDYCE JOHNN :  CRUCIBLE/BYRON CALLE :  USAGENT/CAPTAIN JOHN :  METEORITE :  STONEWALL/LOUIS HAMI :  AVALANCHE/DOMINIC PE :  CRIMSON COMMANDO/FRA :  DEMOLITION MAN/DENNI :  MYSTIQUE/RAVEN DARKH :  QUILL :  MENTALLO :  SPIRAL :  COOPER  DR. VALERIE :  MIST MISTRESS :  OCCULT :  BLOB/FRED J. DUKES
CA 345,VIPER II :  BATTLESTAR/LEMAR HOS :  FALCON/SAM WILSON :  SIDEWINDER/SETH VOEL :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  NOMAD III/JACK MONRO :  USAGENT/CAPTAIN JOHN :  DEMOLITION MAN/DENNI :  REDWING :  VAGABOND/PRISCILLA L
CA 344,VIPER II :  BOOMSLANG/ :  BATTLESTAR/LEMAR HOS :  COBRA/KLAUS VORHEES :  SIKORSKY  RAYMOND :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  NOMAD III/JACK MONRO :  COPPERHEAD III/DAVIS :  SLITHER :  USAGENT/CAPTAIN JOHN :  DEMOLITION MAN/DENNI :  COOPER  DR. VALERIE
CA 343,VIPER II :  PARALYZER :  BOOMSLANG/ :  ANACONDA/BLANCHE SIT :  BATTLESTAR/LEMAR HOS :  FALCON/SAM WILSON :  COBRA/KLAUS VORHEES :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  NOMAD III/JACK MONRO :  CRUCIBLE/BYRON CALLE :  COPPERHEAD III/DAVIS :  SLITHER :  USAGENT/CAPTAIN JOHN :  METEORITE :  RATTLER :  DEMOLITION MAN/DENNI :  REDWING :  QUILL :  OCCULT
CA 342,PUFF ADDER :  VIPER II :  BOOMSLANG/ :  ANACONDA/BLANCHE SIT :  FALCON/SAM WILSON :  SIDEWINDER/SETH VOEL :  COBRA/KLAUS VORHEES :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  NOMAD III/JACK MONRO :  ROCK PYTHON :  COPPERHEAD III/DAVIS :  SLITHER :  BLACK MAMBA/TANYA SE :  BLACK PANTHER/T'CHAL :  ASP II/CLEO :  COTTONMOUTH II :  COACHWHIP :  RATTLER :  M'DAKA :  DEMOLITION MAN/DENNI :  REDWING :  VAGABOND/PRISCILLA L :  FER DE LANCE/TERESA :  BLACK RACER/ :  BUSHMASTER II/QUINCY
CA 341,PUFF ADDER :  VIPER II :  ANACONDA/BLANCHE SIT :  BATTLESTAR/LEMAR HOS :  SIDEWINDER/SETH VOEL :  COBRA/KLAUS VORHEES :  CAPTAIN AMERICA :  DIAMONDBACK II/RACHE :  COPPERHEAD III/DAVIS :  ASP II/CLEO :  USAGENT/CAPTAIN JOHN :  COTTONMOUTH II :  RATTLER :  IRON MAN/TONY STARK :  FER DE LANCE/TERESA :  BLACK RACER/ :  BUSHMASTER II/QUINCY
CA 340,FALCON/SAM WILSON :  CAPTAIN AMERICA :  NOMAD III/JACK MONRO :  MISTER HYDE/CALVIN Z :  TITANIA II/MARY SKEE :  IRON MAN/TONY STARK :  ARMADILLO/ANTONIO RO :  DEMOLITION MAN/DENNI :  REDWING :  VAGABOND/PRISCILLA L :  GRIFFIN II/JOHNNY HO :  VIBRO/DR. FRANCIS VI
CA 339,BATTLESTAR/LEMAR HOS :  FALCON/SAM WILSON :  CAPTAIN AMERICA :  PYRO/ALLERDYCE JOHNN :  NOMAD III/JACK MONRO :  FAMINE/AUTUMN ROLFSO :  USAGENT/CAPTAIN JOHN :  AVALANCHE/DOMINIC PE :  IRON MAN/TONY STARK :  DEMOLITION MAN/DENNI :  REDWING :  VAGABOND/PRISCILLA L :  BLOB/FRED J. DUKES
CA 338,PUFF ADDER :  BATTLESTAR/LEMAR HOS :  FALCON/SAM WILSON :  SIDEWINDER/SETH VOEL :  CAPTAIN AMERICA :  NOMAD III/JACK MONRO :  COPPERHEAD III/DAVIS :  USAGENT/CAPTAIN JOHN :  DEMOLITION MAN/DENNI :  FER DE LANCE/TERESA :  PROFESSOR POWER/ANTH :  LEVIATHAN II/EDWARD :  BLACK RACER/
CA 337,PUFF ADDER :  FALCON/SAM WILSON :  CAPTAIN AMERICA :  NOMAD III/JACK MONRO :  COPPERHEAD III/DAVIS :  DEMOLITION MAN/DENNI :  REDWING :  VAGABOND/PRISCILLA L :  FER DE LANCE/TERESA :  BLACK RACER/
CA 336,FALCON/SAM WILSON :  CAPTAIN AMERICA :  NOMAD III/JACK MONRO :  ROSENTHAL  BERNIE :  USAGENT/CAPTAIN JOHN :  DEMOLITION MAN/DENNI :  REDWING :  VAGABOND/PRISCILLA L
CA 335,BATTLESTAR/LEMAR HOS :  USAGENT/CAPTAIN JOHN :  COOPER  DR. VALERIE
CA 334,DESTINY II/IRENE ADL :  PYRO/ALLERDYCE JOHNN :  LEFT-WINGER/HECTOR L :  TASKMASTER :  USAGENT/CAPTAIN JOHN :  RIGHT-WINGER/JEROME :  AVALANCHE/DOMINIC PE :  MYSTIQUE/RAVEN DARKH :  COOPER  DR. VALERIE :  BLOB/FRED J. DUKES
CA 333,DESTINY II/IRENE ADL :  PYRO/ALLERDYCE JOHNN :  GYRICH  HENRY PETER :  LEFT-WINGER/HECTOR L :  USAGENT/CAPTAIN JOHN :  RIGHT-WINGER/JEROME :  AVALANCHE/DOMINIC PE :  MYSTIQUE/RAVEN DARKH :  COOPER  DR. VALERIE :  BLOB/FRED J. DUKES
CA 332,FALCON/SAM WILSON :  CAPTAIN AMERICA :  USAGENT/CAPTAIN JOHN :  DEMOLITION MAN/DENNI :  RIDDLEY  HIRAM RAM :  CAPTAIN MARVEL II/MO
GR2 7,GEMINI/JOSHUA LINK :  ARIES II/GROVER RAYM :  LEO/DANIEL RADFORD :  GHOST RIDER II/JOHNN :  SAGITTARIUS/HARLAN V :  AQUARIUS/DARREN BENT :  PISCES/NOAH PERRICON :  VIRGO/ELAINE MCLAUGH :  CANCER/JACK KLEVENO :  STUNT-MASTER/GEORGE :  SCORPIO/JAKE FURY :  CAPRICORN/WILLARD WE
GR2 8,GHOST RIDER II/JOHNN :  BLAZE  ROXANNE SIMPS :  SATAN/MARDU KURIOS :  INFERNO :  STUNT-MASTER/GEORGE
PPTSS 50/2,WHITE TIGER/HECTOR A :  MACE
ASPOT 33/2,USAGENT/CAPTAIN JOHN
GR2 5,GHOST RIDER II/JOHNN :  BLAZE  ROXANNE SIMPS :  ROULETTE/DUDE JENSEN :  SATAN/MARDU KURIOS
GR2 6,GHOST RIDER II/JOHNN :  AQUARIUS/DARREN BENT :  BLAZE  ROXANNE SIMPS
GR2 3,HELLSTORM/DAIMON HEL :  LITTLETREE  LINDA :  GHOST RIDER II/JOHNN :  BLAZE  ROXANNE SIMPS
GR2 4,LITTLETREE  LINDA :  GHOST RIDER II/JOHNN :  BLAZE  ROXANNE SIMPS :  ROULETTE/DUDE JENSEN
GR2 1,SILVERCLOUD  SAM :  HELLSTORM/DAIMON HEL :  LITTLETREE  LINDA :  GHOST RIDER II/JOHNN :  BLAZE  ROXANNE SIMPS :  SATAN/MARDU KURIOS
GR2 2,SILVERCLOUD  SAM :  HELLSTORM/DAIMON HEL :  LITTLETREE  LINDA :  GHOST RIDER II/JOHNN :  BLAZE  ROXANNE SIMPS :  SATAN/MARDU KURIOS
CA 331,CAPTAIN AMERICA :  JACKSON  CURTISS :  TATTERDEMALION/ :  MALUS  DR. KARL :  WEREWOLF BY NIGHT/JA :  DEMOLITION MAN/DENNI :  GYPSY MOTH :  MS. MARVEL II/SHARON :  BROTHERS GRIMM II/BA :  DIGGER :  TICKTOCK :  NEEDLE :  DANSEN MACABRE :  SHROUD/MAXIMILLIAN Q
CA 330,CAPTAIN AMERICA :  JACKSON  CURTISS :  TATTERDEMALION/ :  MALUS  DR. KARL :  WEREWOLF BY NIGHT/JA :  DEMOLITION MAN/DENNI :  GYPSY MOTH :  MS. MARVEL II/SHARON :  BROTHERS GRIMM II/BA :  DIGGER :  TICKTOCK :  NEEDLE :  DANSEN MACABRE :  SHROUD/MAXIMILLIAN Q
T 429,CAPTAIN BRITAIN/BRIA :  GHOST RIDER III/DAN :  THUNDERBALL/DR. ELIO :  MEGGAN :  NIGHTCRAWLER/KURT WA :  WRECKER III/DIRK GAR :  RUIZ  RIGGER :  LOCKHEED :  SHADOWCAT/KATHERINE :  THOR/DR. DONALD BLAK :  JUGGERNAUT/CAIN MARK :  AUSTIN  SUSAN :  LOKI [ASGARDIAN] :  SAPRISTI  JERRY :  THUNDERSTRIKE/ERIC K :  BULLDOZER/HENRY CAMP :  PILEDRIVER II/BRIAN :  PHOENIX III/RACHEL S :  RASSITANO  MAD DOG :  MEPHISTO
CA 328,CAPTAIN AMERICA :  JACKSON  CURTISS :  MALUS  DR. KARL :  DEMOLITION MAN/DENNI
T 428,CAPTAIN BRITAIN/BRIA :  JACKSON  ANDREW JOCK :  THUNDERBALL/DR. ELIO :  MEGGAN :  NIGHTCRAWLER/KURT WA :  WRECKER III/DIRK GAR :  RUIZ  RIGGER :  LOCKHEED :  SHADOWCAT/KATHERINE :  FIELSTEIN  FIREWORKS :  THOR/DR. DONALD BLAK :  JUGGERNAUT/CAIN MARK :  STONE  LT. MARCUS :  BULLDOZER/HENRY CAMP :  PILEDRIVER II/BRIAN :  PHOENIX III/RACHEL S :  RASSITANO  MAD DOG
CA 327,CAPTAIN AMERICA :  ROSENTHAL  BERNIE :  USAGENT/CAPTAIN JOHN
T 427,DR. STRANGE/STEPHEN :  CAPTAIN BRITAIN/BRIA :  JACKSON  ANDREW JOCK :  THUNDERBALL/DR. ELIO :  QUASAR III/WENDELL V :  ULIK :  CAPTAIN AMERICA :  MAJOWSKI  SAM MOTHER :  BLOODAXE/JACKIE LUKU :  MEGGAN :  NIGHTCRAWLER/KURT WA :  WRECKER III/DIRK GAR :  RUIZ  RIGGER :  LOCKHEED :  SHADOWCAT/KATHERINE :  FIELSTEIN  FIREWORKS :  THOR/DR. DONALD BLAK :  AUSTIN  SUSAN :  STONE  LT. MARCUS :  LOKI [ASGARDIAN] :  ENCHANTRESS/AMORA/HE :  THUNDERSTRIKE/ERIC K :  MASTERSON  KEVIN :  SPIDER-MAN/PETER PARKER :  BULLDOZER/HENRY CAMP :  PILEDRIVER II/BRIAN :  PHOENIX III/RACHEL S :  RASSITANO  MAD DOG
CA 326,CAPTAIN AMERICA :  DR. FAUSTUS
T 426,SIF :  JACKSON  ANDREW JOCK :  THUNDERBALL/DR. ELIO :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ULIK :  MAJOWSKI  SAM MOTHER :  WRECKER III/DIRK GAR :  RUIZ  RIGGER :  HEIMDALL [ASGARDIAN] :  LEIR :  FIELSTEIN  FIREWORKS :  THOR/DR. DONALD BLAK :  STONE  LT. MARCUS :  LOKI [ASGARDIAN] :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  VIZIER :  CONKLIN  CAPT. :  CABER :  BULLDOZER/HENRY CAMP :  PILEDRIVER II/BRIAN :  ODIN [ASGARDIAN] :  RASSITANO  MAD DOG :  HERCULES [GREEK GOD]
CA 325,CAPTAIN AMERICA :  NOMAD III/JACK MONRO :  VAGABOND/PRISCILLA L :  SLUG/ULYSSES X. LUGM
T 425,SIF :  FANDRAL [ASGARDIAN] :  SURTUR :  VOLSTAGG :  ANALYZER :  TAGAR :  HEIMDALL [ASGARDIAN] :  LEIR :  ZON :  THOR/DR. DONALD BLAK :  YMIR :  NOBILUS :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  VIZIER :  THUNDERSTRIKE/ERIC K :  HIGH EVOLUTIONARY/HE :  CABER :  ODIN [ASGARDIAN] :  JUVAN :  HERCULES [GREEK GOD]
CA 324,CAPTAIN AMERICA :  NOMAD III/JACK MONRO :  WHIRLWIND/DAVID CANN :  TINKERER :  SLUG/ULYSSES X. LUGM :  TRAPSTER/PETER PETRU
T 424,ANALYZER :  TAGAR :  ZON :  ESON [CELESTIAL] :  THOR/DR. DONALD BLAK :  NOBILUS :  ZIRAN :  THUNDERSTRIKE/ERIC K :  HIGH EVOLUTIONARY/HE :  STELLARIS/LEAH PRINC :  NEZARR :  JUVAN :  HERCULES [GREEK GOD]
BG 5,BLACK GOLIATH/DR. WI :  JACKSON  CELIA
CA 323,CAPTAIN AMERICA :  BLACK KNIGHT V/DANE :  LEFT-WINGER/HECTOR L :  ROSENTHAL  BERNIE :  USAGENT/CAPTAIN JOHN :  RIGHT-WINGER/JEROME :  JARVIS  EDWIN :  SITWELL  JASPER :  HERCULES [GREEK GOD]
TOS 74/2,CAPTAIN AMERICA
T 423,SIF :  BLOODAXE/JACKIE LUKU :  ANALYZER :  TAGAR :  LEIR :  ZON :  THOR/DR. DONALD BLAK :  AUSTIN  SUSAN :  NOBILUS :  THUNDERSTRIKE/ERIC K :  HIGH EVOLUTIONARY/HE :  STELLARIS/LEAH PRINC :  CABER :  JUVAN :  HERCULES [GREEK GOD]
BG 4,CLAYBORNE  REGINA :  STILT-MAN/WILBUR DAY :  BLACK GOLIATH/DR. WI :  IRON MAN/TONY STARK
CA 322,CAPTAIN AMERICA :  HUNT  JERRY :  FLAG-SMASHER
